NumeroInteraccion,TiempoReaccion,FueCorrecta,Timestamp
1,0,0000,False,2026-02-01 21:01:48
2,0,0000,False,2026-02-01 21:01:49
3,0,0000,False,2026-02-01 21:01:52
4,0,0000,True,2026-02-01 21:01:52
5,3,2765,False,2026-02-01 21:01:53
6,0,0000,False,2026-02-01 21:01:53
7,0,0000,False,2026-02-01 21:01:54
8,0,0000,False,2026-02-01 21:01:55
9,3,1287,False,2026-02-01 21:01:55
10,3,1224,False,2026-02-01 21:01:55
11,0,0000,False,2026-02-01 21:01:55
12,0,0000,False,2026-02-01 21:01:56
13,0,0000,False,2026-02-01 21:01:56
14,0,0000,True,2026-02-01 21:01:56
15,0,0000,False,2026-02-01 21:01:57
16,3,0774,False,2026-02-01 21:01:57
17,0,0000,False,2026-02-01 21:01:57
18,0,0000,False,2026-02-01 21:01:57
19,3,0400,False,2026-02-01 21:01:59
20,3,0296,False,2026-02-01 21:02:02
21,3,0296,False,2026-02-01 21:02:02
22,3,0273,False,2026-02-01 21:02:03
