NumeroInteraccion,TiempoReaccion,FueCorrecta,Timestamp
1,4,0000,False,2026-02-01 21:00:10
2,0,0000,False,2026-02-01 21:00:13
3,0,0000,False,2026-02-01 21:00:13
4,0,0000,False,2026-02-01 21:00:14
5,0,0000,False,2026-02-01 21:00:16
6,0,0000,False,2026-02-01 21:00:16
7,0,0000,False,2026-02-01 21:00:17
8,0,0000,False,2026-02-01 21:00:17
9,0,0000,False,2026-02-01 21:00:17
10,0,0000,False,2026-02-01 21:00:18
11,0,0000,False,2026-02-01 21:00:21
12,0,0000,False,2026-02-01 21:00:22
13,0,0000,False,2026-02-01 21:00:22
14,0,0000,False,2026-02-01 21:00:22
15,0,0000,False,2026-02-01 21:00:22
16,0,0000,False,2026-02-01 21:00:23
17,0,0000,False,2026-02-01 21:00:23
18,0,0000,False,2026-02-01 21:00:23
19,0,0000,False,2026-02-01 21:00:23
20,0,0000,False,2026-02-01 21:00:24
21,0,0000,False,2026-02-01 21:00:25
22,0,0000,False,2026-02-01 21:00:25
23,0,0000,False,2026-02-01 21:00:25
